title,img_src,link,author,publisher,price
계단 끝에 다락방,https://bookthumb-phinf.pstatic.net/cover/163/483/16348351.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348351, 김계현,부크크(Bookk),1
두 번 사는 랭커 19,https://bookthumb-phinf.pstatic.net/cover/163/490/16349007.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349007, 사도연,드림북스,"7,200원"
"같은 시간, 다른 장소",https://bookthumb-phinf.pstatic.net/cover/163/483/16348352.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348352, 김민경,부크크(Bookk),1
15만번의 챌린저 13,https://bookthumb-phinf.pstatic.net/cover/163/490/16349061.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349061, 예정후,로크미디어,"7,200원"
케미컬 연애학,https://bookthumb-phinf.pstatic.net/cover/163/483/16348361.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348361, 소상난소월,부크크(Bookk),
회귀자의 그랜드슬램 16,https://bookthumb-phinf.pstatic.net/cover/163/490/16349063.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349063, mensol,로크미디어,"7,200원"
HEIDI - 알프스 소녀 하이디 (영문원서),https://bookthumb-phinf.pstatic.net/cover/163/483/16348388.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348388, 요하나 슈피리 (Johanna Spyri),부크크(Bookk),1
리옴빠,https://bookthumb-phinf.pstatic.net/cover/163/454/16345496.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345496, 유리 올레샤,미행,"15,300원"
카구야 프로젝트,https://bookthumb-phinf.pstatic.net/cover/163/403/16340354.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16340354, 원샨,아작,"13,320원"
엔딩 보게 해주세요,https://bookthumb-phinf.pstatic.net/cover/163/013/16301362.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16301362, 김보영,요다,"12,600원"
모팽 양(이삭줍기 환상문학 3),https://bookthumb-phinf.pstatic.net/cover/163/454/16345483.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345483, 테오필 고티에,열림원,"13,500원"
"세 개의 단어, 그리고 십 분",https://bookthumb-phinf.pstatic.net/cover/163/425/16342511.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16342511, 박지현,아홉프레스,"12,600원"
오 헨리 단편선(2020년 리커버)(개정판),https://bookthumb-phinf.pstatic.net/cover/163/445/16344571.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16344571, 오 헨리,책만드는집,"11,520원"
만년만에 귀환한 플레이어 10,https://bookthumb-phinf.pstatic.net/cover/163/475/16347558.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347558, 나비계곡,위시북스,"7,200원"
닐라칸타 Nilakantha,https://bookthumb-phinf.pstatic.net/cover/163/435/16343546.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16343546, 장량,세니오,"16,200원"
"서른다섯, 다시 시작해",https://bookthumb-phinf.pstatic.net/cover/163/293/16329358.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16329358, 강혁모,마음세상,"11,880원"
그들의 변명,https://bookthumb-phinf.pstatic.net/cover/163/475/16347566.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347566, 원윤경,부크크(Bookk),2
Dream of The Moon,https://bookthumb-phinf.pstatic.net/cover/163/475/16347567.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347567, 김우진,부크크(Bookk),1
밤 끝으로의 여행,https://bookthumb-phinf.pstatic.net/cover/163/400/16340053.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16340053, 루이 훼르디낭 쎌린느,최측의농간,"25,200원"
어쩌다 신데렐라,https://bookthumb-phinf.pstatic.net/cover/163/477/16347775.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347775, 이준호,부크크(Bookk),1
파리의 동쪽,https://bookthumb-phinf.pstatic.net/cover/163/474/16347415.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347415, 니콜라 보코브,스틸로그라프,"16,200원"
십자가 벌판,https://bookthumb-phinf.pstatic.net/cover/163/457/16345747.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345747, 까를로스 알폰소,재남,"13,500원"
페스트(미니북),https://bookthumb-phinf.pstatic.net/cover/163/475/16347541.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347541, 알베르 카뮈,자화상,"5,850원"
변혁 1998. 4: 변혁 2부,https://bookthumb-phinf.pstatic.net/cover/163/488/16348859.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348859, 천지무천,청어람,"7,200원"
페스트,https://bookthumb-phinf.pstatic.net/cover/163/475/16347543.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347543, 알베르 카뮈,자화상,"10,620원"
호랑이 눈썹,https://bookthumb-phinf.pstatic.net/cover/163/475/16347546.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347546, 손석춘,단비,"11,700원"
겐지 이야기 1,https://bookthumb-phinf.pstatic.net/cover/163/242/16324205.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16324205, 무라사키 시키부,동서문화사,"14,400원"
곱세크,https://bookthumb-phinf.pstatic.net/cover/163/474/16347401.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347401, 오노레 드 발자크,꿈꾼문고,"10,350원"
겐지 이야기 2,https://bookthumb-phinf.pstatic.net/cover/163/242/16324208.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16324208, 무라사키 시키부,동서문화사,"14,400원"
시절과 기분,https://bookthumb-phinf.pstatic.net/cover/163/435/16343515.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16343515, 김봉곤,창비,"12,600원"
겐지 이야기 3,https://bookthumb-phinf.pstatic.net/cover/163/242/16324210.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16324210, 무라사키 시키부,동서문화사,"14,400원"
달뜨기 마을,https://bookthumb-phinf.pstatic.net/cover/163/392/16339255.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16339255, 안재성,목선재,"12,420원"
